"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Disctroyer OÜ","Skylark (Lõoke)","180.1","21.7","1.9","1.5","19.3","1.4","6.9","46.50","5.57","","","","19-57","Aug 1, 2019"
"Disc Golf Association (DGA)","Rift","179.3","21.6","1.8","1.3","18.6","1.5","6.0","47.00","9.89","","","","19-58","Aug 1, 2019"
"Synergy Discs","Mjölnir","182.6","22.0","1.6","1.1","18.4","1.8","5.0","33.25","9.89","","","","19-55","Jul 10, 2019"
"Above Ground Level","Sycamore","176.0","21.2","2.2","1.3","17.8","1.7","6.1","32.25","10.80","","","","19-56","Jul 10, 2019"
"Infinite Discs","Centurion","175.1","21.1","1.8","1.2","17.8","1.7","5.7","37.00","8.75","","","","19-53","Jul 10, 2019"
"Infinite Discs","Cohort","175.1","21.1","1.8","1.3","19.1","1.0","6.2","58.50","6.25","","","","19-54","Jul 10, 2019"
"Discraft","Anax","177.6","21.4","1.7","1.2","17.5","1.9","5.6","29.75","10.45","","","","19-50","Jun 19, 2019"
"Yikun Discs","Meteor Hammer (流星锤)","176.0","21.2","2.0","1.5","19.2","1.0","7.1","52.50","8.64","","","","19-51","Jun 19, 2019"
"Yikun Discs","Tomahawk (八卦钺)","179.3","21.6","1.9","1.3","19.0","1.3","6.0","34.75","9.55","","","","19-52","Jun 19, 2019"
"Black Zombie Disc Golf","Flame Thrower","179.3","21.6","1.7","1.2","17.2","2.2","5.6","30.00","10.11","","","","19-48","Jun 4, 2019"
"MINT Discs","Profit","175.1","21.1","1.9","1.6","18.9","1.1","7.6","65.75","9.66","","","","19-44","May 23, 2019"
"Discmania","Enigma","175.1","21.1","1.6","1.1","16.6","2.2","5.2","27.75","11.25","","","","19-45","May 23, 2019"
"Discmania","Link","176.0","21.2","1.9","1.5","19.1","1.0","7.0","71.00","7.84","","","","19-46","May 23, 2019"
"Axiom Discs","Delirium","175.1","21.1","1.8","1.2","16.0","2.5","5.7","27.00","11.14","","","","19-47","May 23, 2019"
"Prodigy Disc","MX-3","180.1","21.7","1.9","1.3","18.9","1.4","6.0","32.75","6.48","","","","19-42","May 7, 2019"
"Streamline Discs","Stabilizer","176.0","21.2","1.8","1.4","18.8","1.1","6.6","56.25","8.75","","","","19-43","May 7, 2019"
"Discmania","Method","180.1","21.7","1.9","1.4","19.0","1.3","6.5","44.00","10.23","","","","19-39","May 1, 2019"
"Millennium Golf Discs","Draco","176.0","21.2","1.4","1.2","17.3","1.9","5.7","35.50","11.14","","","","19-40","May 1, 2019"
"Tokyo Discs","Rei (零)","174.3","21.0","2.1","1.4","18.7","1.1","6.7","50.75","8.18","","","","19-37","Apr 17, 2019"
"Discmania","DD3 (retest)","175.1","21.1","1.7","1.1","16.3","2.4","5.7","26.25","12.13","","","","19-38","Apr 17, 2019"
